size,file,constructorCount,declarationCount,expressionCount,groupingOrIIFECount,arrowCount,totalCount
8,drift/src/routines/parseAndFormatArray.js,0,0,0,0,0,0
8,drift/src/routines/parseAndFormatObjectArray.js,0,0,0,0,0,0
8,drift/src/routines/parseNaNs.js,0,0,0,0,0,0
8,drift/src/routines/parseNulls.js,0,0,0,0,0,0
8,drift/src/routines/parseNumbers.js,0,0,0,0,0,0
8,drift/src/routines/proceed.js,0,0,0,0,0,0
8,drift/src/routines/read.js,0,0,0,0,0,0
8,drift/src/routines/render_.js,0,0,0,0,1,1
8,drift/src/routines/repeatValues.js,0,0,0,0,0,0
8,drift/src/routines/requestAutoModelBuild.js,0,0,0,0,1,1
8,drift/src/routines/requestBindFrames.js,0,0,0,0,1,1
8,drift/src/routines/requestCancelJob.js,0,0,0,0,1,1
8,drift/src/routines/requestChangeColumnType.js,0,0,0,0,2,2
8,drift/src/routines/requestCloud.js,0,0,0,0,1,1
8,drift/src/routines/requestColumnSummary.js,0,0,0,0,1,1
8,drift/src/routines/requestCreateFrame.js,0,0,0,0,2,2
8,drift/src/routines/requestDeleteFrame.js,0,0,0,0,1,1
8,drift/src/routines/requestDeleteFrames.js,0,0,0,0,2,2
8,drift/src/routines/requestDeleteModel.js,0,0,0,0,1,1
8,drift/src/routines/requestDeleteModels.js,0,0,0,0,2,2
8,drift/src/routines/requestExportFrame.js,0,0,0,0,2,2
8,drift/src/routines/requestExportModel.js,0,0,0,0,1,1
8,drift/src/routines/requestFrame.js,0,0,0,0,1,1
8,drift/src/routines/requestFrameData.js,0,0,0,0,1,1
8,drift/src/routines/requestFrames.js,0,0,0,0,1,1
8,drift/src/routines/requestFrameSummary.js,0,0,0,0,1,1
8,drift/src/routines/requestFrameSummarySlice.js,0,0,0,0,1,1
8,drift/src/routines/requestGrids.js,0,0,0,0,1,1
8,drift/src/routines/requestImportAndParseFiles.js,0,0,0,0,3,3
8,drift/src/routines/requestImportAndParseSetup.js,0,0,0,0,3,3
8,drift/src/routines/requestImportModel.js,0,0,0,0,1,1
8,drift/src/routines/requestImputeColumn.js,0,0,0,0,2,2
8,drift/src/routines/requestJob.js,0,0,0,0,1,1
8,drift/src/routines/requestJobs.js,0,0,0,0,1,1
8,drift/src/routines/requestLogFile.js,0,0,0,0,2,2
8,drift/src/routines/requestMergeFrames.js,0,0,0,0,1,1
8,drift/src/routines/requestModel.js,0,0,0,0,1,1
8,drift/src/routines/requestModelBuild.js,0,0,0,0,2,2
8,drift/src/routines/requestModels.js,0,0,0,0,1,1
8,drift/src/routines/requestModelsByKeys.js,0,0,0,0,2,2
8,drift/src/routines/requestNetworkTest.js,0,0,0,0,1,1
8,drift/src/routines/requestParseFiles.js,0,0,0,0,1,1
8,drift/src/routines/requestParseSetup.js,0,0,0,0,1,1
8,drift/src/routines/requestPartialDependence.js,0,0,0,0,2,2
8,drift/src/routines/requestPartialDependenceData.js,0,0,0,0,1,1
8,drift/src/routines/requestPredict.js,0,0,0,0,0,0
8,drift/src/routines/requestPrediction.js,0,0,0,0,0,0
8,drift/src/routines/requestProfile.js,0,0,0,0,1,1
8,drift/src/routines/requestRemoveAll.js,0,0,0,0,1,1
8,drift/src/routines/requestSplitFrame.js,0,0,0,0,1,1
8,drift/src/routines/requestStackTrace.js,0,0,0,0,1,1
8,drift/src/routines/requestTimeline.js,0,0,0,0,1,1
72,drift/src/routines/routines.js,0,0,0,0,101,101
